year,folk,indie,indie pop,israeli,pop
2014,23.88059701492537,44.17910447761194,11.044776119402986,13.432835820895523,7.462686567164178
2015,44.49760765550239,51.196172248803826,3.349282296650718,0.0,0.9569377990430622
2016,33.56643356643357,28.671328671328673,3.4965034965034967,6.293706293706294,27.972027972027973
2017,38.59649122807017,29.82456140350877,0.0,28.07017543859649,3.508771929824561
2018,52.89473684210526,22.63157894736842,3.421052631578948,17.63157894736842,3.421052631578948
2019,37.410071942446045,22.302158273381295,6.83453237410072,29.496402877697843,3.9568345323741005
2020,32.992327365728904,23.273657289002557,3.324808184143223,29.15601023017903,11.253196930946292
2021,28.037383177570092,20.24922118380062,4.049844236760125,30.8411214953271,16.822429906542055
2022,18.48013816925734,27.806563039723663,21.761658031088082,11.226252158894647,20.72538860103627
2023,36.59574468085106,16.0,12.936170212765957,8.425531914893616,26.04255319148936
2024,26.675603217158177,17.761394101876675,16.621983914209114,15.683646112600535,23.257372654155496
